oracion_español,oracion_transformada_lse
El escritor escribe en su estudio.,ESTUDIO SU ESCRITOR ESCRIBIR
El chef prepara postres en la cocina.,COCINA CHEF POSTRES PREPARAR
La doctora atiende pacientes en la consulta.,CONSULTA DOCTORA PACIENTES ATENDER
Mi amigo estudia en la biblioteca.,BIBLIOTECA AMIGO MÍO ESTUDIAR
El grupo canta en el teatro.,TEATRO GRUPO CANTAR
Trabajo en Málaga.,MÁLAGA YO TRABAJAR
Cocino en casa.,CASA YO COCINAR
Leo en el sofá.,SOFÁ YO LEER
Estudio en la mesa.,MESA YO ESTUDIAR
Escribo en el ordenador.,ORDENADOR YO ESCRIBIR
Limpio en la cocina.,COCINA YO LIMPIAR
Cierro la puerta en el pasillo.,PASILLO PUERTA YO CERRAR
Practico guitarra en el salón.,SALÓN GUITARRA YO PRACTICAR
Descanso en la cama.,CAMA YO DESCANSAR
Corro en el parque.,PARQUE YO CORRER
Duermo en mi habitación.,HABITACIÓN MÍA YO DORMIR
Trabajo en la empresa.,EMPRESA YO TRABAJAR
Cocino en la escuela.,ESCUELA YO COCINAR
Leo en el tren.,TREN YO LEER
Canto en el festival.,FESTIVAL YO CANTAR
Estudio en Instituto Granada.,INSTITUTO GRANADA YO ESTUDIAR
Vivo en Casa Ana.,CASA ANA YO VIVIR
Ceno en el restaurante.,RESTAURANTE YO CENAR
Escucho música en la terraza.,TERRAZA YO MÚSICA ESCUCHAR
Mido ingredientes en la cocina.,COCINA YO INGREDIENTES MEDIR
Aprendo inglés en la academia.,ACADEMIA YO INGLÉS APRENDER
María estudia en Madrid y trabaja en su casa.,MADRID MARÍA ESTUDIAR CASA SU TRABAJAR
Luis vive en Barcelona y viaja a Valencia.,BARCELONA LUIS VIVIR VALENCIA VIAJAR
Ana enseña en el instituto y corrige en casa.,INSTITUTO ANA ENSEÑAR CASA CORREGIR
Javier escribe en el estudio y publica en línea.,ESTUDIO JAVIER ESCRIBIR LÍNEA PUBLICAR
Lucía canta en el teatro y ensaya en su habitación.,TEATRO LUCÍA CANTAR HABITACIÓN SU ENSAYAR
Carlos observa aves en el parque y anota datos.,PARQUE CARLOS AVES OBSERVAR DATOS ANOTAR
El profesor enseña en la universidad y corrige en casa.,UNIVERSIDAD PROFESOR ENSEÑAR CASA CORREGIR
Mi hermana limpia en su habitación y cocina en la sala.,HABITACIÓN SU HERMANA MÍA LIMPIAR SALA COCINAR
El grupo canta en Sevilla y baila en Cádiz.,SEVILLA GRUPO CANTAR CÁDIZ BAILAR
La doctora trabaja en el hospital y estudia en la universidad.,HOSPITAL DOCTORA TRABAJAR UNIVERSIDAD ESTUDIAR
Trabajo mucho.,YO MUCHO TRABAJAR
Cocino arroz.,YO ARROZ COCINAR
Leo un libro.,YO LIBRO LEER
Estudio inglés.,YO INGLÉS ESTUDIAR
Preparo café.,YO CAFÉ PREPARAR
Escribo mensajes.,YO MENSAJES ESCRIBIR
Observo el cielo.,YO CIELO OBSERVAR
Organizo papeles.,YO PAPELES ORGANIZAR
Visito museos.,YO MUSEOS VISITAR
Limpio la casa.,YO CASA LIMPIAR
Reparo el coche.,YO COCHE REPARAR
Aprendo idiomas.,YO IDIOMAS APRENDER
Pinto cuadros.,YO CUADROS PINTAR
Grabo vídeos.,YO VÍDEOS GRABAR
Toco guitarra.,YO GUITARRA TOCAR
Investigo temas.,YO TEMAS INVESTIGAR
Mido ingredientes.,YO INGREDIENTES MEDIR
Gestiono proyectos.,YO PROYECTOS GESTIONAR
Planeo viajes.,YO VIAJES PLANEAR
Camino rápido.,YO RÁPIDO CAMINAR
Compro pan.,YO PAN COMPRAR
Leo poemas.,YO POEMAS LEER
Estudio biología.,YO BIOLOGÍA ESTUDIAR
Trabajo tranquilo.,YO TRANQUILO TRABAJAR
Cocino lentejas.,YO LENTEJAS COCINAR
Escribo cartas.,YO CARTAS ESCRIBIR
Canto canciones.,YO CANCIONES CANTAR
Escucho música.,YO MÚSICA ESCUCHAR
Aprendo cosas.,YO COSAS APRENDER
Cierro la puerta.,TÚ PUERTA CERRAR DEBE
Subo escaleras.,YO ESCALERAS SUBIR
Duermo bien.,YO BIEN DORMIR
Despierto temprano.,YO TEMPRANO DESPERTAR
Corro rápido.,YO RÁPIDO CORRER
Río con amigos.,YO AMIGOS REÍR
Juego fútbol.,YO FÚTBOL JUGAR
Estudio solo.,YO SOLO ESTUDIAR
Trabajo motivado.,YO MOTIVADO TRABAJAR
Leo sin parar.,YO SIN PARAR LEER
Descanso tranquilo.,YO TRANQUILO DESCANSAR
Ayudo cuando puedo.,YO CUANDO PODER AYUDAR
Vivo feliz.,YO FELIZ VIVIR
Cocino bien.,YO BIEN COCINAR
Leo mucho.,YO MUCHO LEER
Trabajo contento.,YO CONTENTO TRABAJAR
Canto alto.,YO ALTO CANTAR
Organizo bien.,YO BIEN ORGANIZAR
Descanso poco.,YO POCO DESCANSAR
Escribo poco.,YO POCO ESCRIBIR
Pinto lento.,YO LENTO PINTAR
Trabajo y sonrío.,YO TRABAJAR SONREÍR
Cocino y limpio.,YO COCINAR LIMPIAR
Leo y aprendo.,YO LEER APRENDER
Estudio y enseño.,YO ESTUDIAR ENSEÑAR
Organizo y escribo.,YO ORGANIZAR ESCRIBIR
Aprendo y enseño.,YO APRENDER ENSEÑAR
Cocino y sirvo.,YO COCINAR SERVIR
Leo y descanso.,YO LEER DESCANSAR
Canto y río.,YO CANTAR REÍR
Trabajo y escucho.,YO TRABAJAR ESCUCHAR
Pinto y coloreo.,YO PINTAR COLOREAR
Cocino y decoro.,YO COCINAR DECORAR
Escribo y leo.,YO ESCRIBIR LEER
María cocinó arroz.,PASADO MARÍA ARROZ COCINAR
Luis estudió biología.,PASADO LUIS BIOLOGÍA ESTUDIAR
Ana preparó café.,PASADO ANA CAFÉ PREPARAR
Javier escribió un correo.,PASADO JAVIER CORREO ESCRIBIR
Lucía cantó una canción.,PASADO LUCÍA CANCIÓN CANTAR
Carlos observó el cielo.,PASADO CARLOS CIELO OBSERVAR
El profesor enseñó historia.,PASADO PROFESOR HISTORIA ENSEÑAR
Mi hermana limpió la casa.,PASADO CASA MI HERMANA LIMPIAR
El equipo entrenó duro.,PASADO EQUIPO DURO ENTRENAR
La empresa fabricó muebles.,PASADO EMPRESA MUEBLES FABRICAR
El médico atendió pacientes.,PASADO MÉDICO PACIENTES ATENDER
La vecina cocinó lentejas.,PASADO VECINA LENTEJAS COCINAR
El alumno estudió inglés.,PASADO ALUMNO INGLÉS ESTUDIAR
Mi padre arregló el coche.,PASADO COCHE MI PADRE ARREGLAR
La directora revisó informes.,PASADO DIRECTORA INFORMES REVISAR
El escritor redactó un cuento.,PASADO ESCRITOR CUENTO REDACTAR
El chef midió los ingredientes.,PASADO CHEF INGREDIENTES MEDIR
La doctora examinó a los niños.,PASADO DOCTORA NIÑOS EXAMINAR
Mi amigo guardó documentos.,PASADO AMIGO MÍO DOCUMENTOS GUARDAR
El grupo cantó en el teatro.,PASADO TEATRO GRUPO CANTAR
Trabajé mucho ayer.,AYER YO MUCHO TRABAJAR
Cociné pasta.,PASADO YO PASTA COCINAR
Leí un libro.,PASADO YO LIBRO LEER
Estudié ciencias.,PASADO YO CIENCIAS ESTUDIAR
Preparé té.,PASADO YO TÉ PREPARAR
Escribí correos.,PASADO YO CORREOS ESCRIBIR
Observé estrellas.,PASADO YO ESTRELLAS OBSERVAR
Organicé tareas.,PASADO YO TAREAS ORGANIZAR
Visité a mis amigos.,PASADO YO AMIGOS MÍOS VISITAR
Limpié la cocina.,PASADO YO COCINA LIMPIAR
Aprendí historia.,PASADO YO HISTORIA APRENDER
Pinté un cuadro.,PASADO YO CUADRO PINTAR
Grabé vídeos.,PASADO YO VÍDEOS GRABAR
Toqué guitarra.,PASADO YO GUITARRA TOCAR
Investigué sobre ciencia.,PASADO YO CIENCIA INVESTIGAR
Medí azúcar.,PASADO YO AZÚCAR MEDIR
Gestioné tareas.,PASADO YO TAREAS GESTIONAR
Planeé vacaciones.,PASADO YO VACACIONES PLANEAR
Dormí temprano.,PASADO YO TEMPRANO DORMIR
Descansé en casa.,PASADO YO CASA DESCANSAR
María cocinó y sirvió.,PASADO MARÍA COCINAR SERVIR
Luis estudió y aprobó.,PASADO LUIS ESTUDIAR APROBAR
Ana preparó y limpió.,PASADO ANA PREPARAR LIMPIAR
Lucía cantó y bailó.,PASADO LUCÍA CANTAR BAILAR
Carlos observó y anotó.,PASADO CARLOS OBSERVAR ANOTAR
El profesor enseñó y corrigió.,PASADO PROFESOR ENSEÑAR CORREGIR
Mi hermana limpió y cocinó.,PASADO HERMANA MÍA LIMPIAR COCINAR
El grupo cantó y celebró.,PASADO GRUPO CANTAR CELEBRAR
El chef cocinó y decoró.,PASADO CHEF COCINAR DECORAR
La doctora examinó y aconsejó.,PASADO DOCTORA EXAMINAR ACONSEJAR
María cocinará arroz.,FUTURO MARÍA ARROZ COCINAR
Luis estudiará inglés.,FUTURO LUIS INGLÉS ESTUDIAR
Ana preparará café.,FUTURO ANA CAFÉ PREPARAR
Javier escribirá una carta.,FUTURO JAVIER CARTA ESCRIBIR
Lucía cantará una canción.,FUTURO LUCÍA CANCIÓN CANTAR
Carlos observará estrellas.,FUTURO CARLOS ESTRELLAS OBSERVAR
El profesor enseñará historia.,FUTURO PROFESOR HISTORIA ENSEÑAR
Mi hermana limpiará la casa.,FUTURO HERMANA MÍA CASA LIMPIAR
El equipo entrenará fuerte.,FUTURO EQUIPO FUERTE ENTRENAR
La empresa producirá muebles.,FUTURO EMPRESA MUEBLES PRODUCIR
El médico atenderá pacientes.,FUTURO MÉDICO PACIENTES ATENDER
La vecina cocinará lentejas.,FUTURO VECINA LENTEJAS COCINAR
El alumno estudiará inglés.,FUTURO ALUMNO INGLÉS ESTUDIAR
Mi padre arreglará el coche.,FUTURO PADRE MÍO COCHE ARREGLAR
La directora organizará informes.,FUTURO DIRECTORA INFORMES ORGANIZAR
El escritor redactará un libro.,FUTURO ESCRITOR LIBRO REDACTAR
El chef medirá ingredientes.,FUTURO CHEF INGREDIENTES MEDIR
La doctora examinará pacientes.,FUTURO DOCTORA PACIENTES EXAMINAR
Mi amigo guardará documentos.,FUTURO AMIGO MÍO DOCUMENTOS GUARDAR
El grupo cantará en el teatro.,FUTURO TEATRO GRUPO CANTAR
Trabajaré mañana.,MAÑANA YO TRABAJAR
Cocinaré arroz.,FUTURO YO ARROZ COCINAR
Leeré un libro.,FUTURO YO LIBRO LEER
Estudiaré biología.,FUTURO YO BIOLOGÍA ESTUDIAR
Prepararé té.,FUTURO YO TÉ PREPARAR
Escribiré correos.,FUTURO YO CORREOS ESCRIBIR
Observaré el cielo.,FUTURO YO CIELO OBSERVAR
Organizaré tareas.,FUTURO YO TAREAS ORGANIZAR
Visitaré amigos.,FUTURO YO AMIGOS VISITAR
Limpiaré la casa.,FUTURO YO CASA LIMPIAR
Aprenderé francés.,FUTURO YO FRANCÉS APRENDER
Pintaré un cuadro.,FUTURO YO CUADRO PINTAR
Grabaré vídeos.,FUTURO YO VÍDEOS GRABAR
Tocaré guitarra.,FUTURO YO GUITARRA TOCAR
Investigaré temas.,FUTURO YO TEMAS INVESTIGAR
Mediré ingredientes.,FUTURO YO INGREDIENTES MEDIR
Gestionaré proyectos.,FUTURO YO PROYECTOS GESTIONAR
Planearé viajes.,FUTURO YO VIAJES PLANEAR
Dormiré bien.,FUTURO YO BIEN DORMIR
Descansaré luego.,LUEGO YO DESCANSAR
María cocinará y servirá.,FUTURO MARÍA COCINAR SERVIR
Luis estudiará y aprobará.,FUTURO LUIS ESTUDIAR APROBAR
Ana preparará y limpiará.,FUTURO ANA PREPARAR LIMPIAR
Lucía cantará y bailará.,FUTURO LUCÍA CANTAR BAILAR
Carlos observará y anotará.,FUTURO CARLOS OBSERVAR ANOTAR
El profesor enseñará y corregirá.,FUTURO PROFESOR ENSEÑAR CORREGIR
Mi hermana limpiará y cocinará.,FUTURO HERMANA MÍA LIMPIAR COCINAR
El grupo cantará y celebrará.,FUTURO GRUPO CANTAR CELEBRAR
El chef cocinará y decorará.,FUTURO CHEF COCINAR DECORAR
La doctora examinará y aconsejará.,FUTURO DOCTORA EXAMINAR ACONSEJAR
María cocina arroz cada día.,CADA DÍA MARÍA ARROZ COCINAR
Luis estudia matemáticas todas las mañanas.,TODAS MAÑANAS LUIS MATEMÁTICAS ESTUDIAR
Ana prepara café por la tarde.,TARDE ANA CAFÉ PREPARAR
Javier escribe artículos cada semana.,CADA SEMANA JAVIER ARTÍCULOS ESCRIBIR
Lucía canta canciones todos los viernes.,TODOS VIERNES LUCÍA CANCIONES CANTAR
Carlos observa las estrellas cada noche.,CADA NOCHE CARLOS ESTRELLAS OBSERVAR
El profesor enseña historia los lunes.,LUNES PROFESOR HISTORIA ENSEÑAR
Mi hermana limpia la casa los domingos.,DOMINGOS HERMANA MÍA CASA LIMPIAR
El equipo entrena duro todos los días.,TODOS DÍAS EQUIPO DURO ENTRENAR
La empresa fabrica productos cada mes.,CADA MES EMPRESA PRODUCTOS FABRICAR
El médico atiende pacientes los jueves.,JUEVES MÉDICO PACIENTES ATENDER
La vecina cocina lentejas cada lunes.,CADA LUNES VECINA LENTEJAS COCINAR
El alumno estudia inglés todos los días.,TODOS DÍAS ALUMNO INGLÉS ESTUDIAR
Mi padre repara el coche los sábados.,SÁBADOS PADRE MÍO COCHE REPARAR
La directora revisa informes todos los martes.,TODOS MARTES DIRECTORA INFORMES REVISAR
El escritor redacta cuentos cada noche.,CADA NOCHE ESCRITOR CUENTOS REDACTAR
El chef prepara postres cada sábado.,CADA SÁBADO CHEF POSTRES PREPARAR
La doctora examina a los niños todos los jueves.,TODOS JUEVES DOCTORA NIÑOS EXAMINAR
Mi amigo organiza su escritorio cada mañana.,CADA MAÑANA AMIGO MÍO ESCRITORIO ORGANIZAR
El grupo canta canciones nuevas todos los viernes.,TODOS VIERNES GRUPO CANCIONES NUEVAS CANTAR
Trabajo cada mañana.,CADA MAÑANA YO TRABAJAR
Cocino arroz los sábados.,SÁBADOS YO ARROZ COCINAR
Leo el periódico todos los días.,TODOS DÍAS YO PERIÓDICO LEER
Estudio inglés cada noche.,CADA NOCHE YO INGLÉS ESTUDIAR
Preparo té todas las tardes.,TODAS TARDES YO TÉ PREPARAR
Escribo correos cada mañana.,CADA MAÑANA YO CORREOS ESCRIBIR
Observo aves cada primavera.,CADA PRIMAVERA YO AVES OBSERVAR
Organizo archivos todos los lunes.,TODOS LUNES YO ARCHIVOS ORGANIZAR
Visito museos los domingos.,DOMINGOS YO MUSEOS VISITAR
Limpio la cocina cada tarde.,CADA TARDE YO COCINA LIMPIAR
Reparo el ordenador cada mes.,CADA MES YO ORDENADOR REPARAR
Cocino pasta los viernes.,VIERNES YO PASTA COCINAR
Aprendo historia todos los días.,TODOS DÍAS YO HISTORIA APRENDER
Enseño matemáticas los martes.,MARTES YO MATEMÁTICAS ENSEÑAR
Pinto cuadros cada verano.,CADA VERANO YO CUADROS PINTAR
Grabo vídeos todos los domingos.,TODOS DOMINGOS YO VÍDEOS GRABAR
Toco guitarra cada noche.,CADA NOCHE YO GUITARRA TOCAR
Investigo temas nuevos cada semana.,CADA SEMANA YO TEMAS NUEVOS INVESTIGAR
Mido ingredientes todos los jueves.,TODOS JUEVES YO INGREDIENTES MEDIR
Gestiono proyectos cada mañana.,CADA MAÑANA YO PROYECTOS GESTIONAR
Planeo viajes cada año.,CADA AÑO YO VIAJES PLANEAR
Trabajo por la tarde.,TARDE YO TRABAJAR
María me compra flores cada semana.,CADA SEMANA MARÍA A MÍ FLORES COMPRAR
Luis le escribe cartas a su madre cada mes.,CADA MES LUIS A SU MADRE CARTAS ESCRIBIR
Ana nos prepara sopa cada noche.,CADA NOCHE ANA A NOSOTROS SOPA PREPARAR
Javier lo arregla todos los días.,TODOS DÍAS JAVIER ARREGLAR
Lucía les enseña música todos los viernes.,TODOS VIERNES LUCÍA A ELLOS MÚSICA ENSEÑAR
Carlos me llama cada noche.,CADA NOCHE CARLOS A MÍ LLAMAR
El profesor les explica el tema cada martes.,CADA MARTES PROFESOR A ELLOS TEMA EXPLICAR
Mi hermana le regala dulces a su amiga cada mes.,CADA MES MI HERMANA A SU AMIGA DULCES REGALAR
El equipo lo entrena cada día.,CADA DÍA EQUIPO ENTRENAR
La empresa nos envía productos todos los lunes.,TODOS LUNES EMPRESA A NOSOTROS PRODUCTOS ENVIAR
El médico me revisa la vista cada jueves.,CADA JUEVES MÉDICO A MÍ VISTA REVISAR
La vecina le presta libros cada semana.,CADA SEMANA VECINA A ELLA LIBROS PRESTAR
El alumno lo repite cada día.,CADA DÍA ALUMNO REPETIR
Mi padre me ayuda con las tareas cada noche.,CADA NOCHE MI PADRE A MÍ TAREAS AYUDAR
La directora les envía correos todos los lunes.,TODOS LUNES DIRECTORA A ELLOS CORREOS ENVIAR
El escritor lo publica cada viernes.,CADA VIERNES ESCRITOR PUBLICAR
El chef me prepara café cada mañana.,CADA MAÑANA CHEF A MÍ CAFÉ PREPARAR
La doctora le recomienda descanso cada mes.,CADA MES DOCTORA A ELLA DESCANSO RECOMENDAR
Mi amigo lo guarda todos los días.,TODOS DÍAS MI AMIGO GUARDAR
El grupo les canta canciones cada sábado.,CADA SÁBADO GRUPO A ELLOS CANCIONES CANTAR
Trabajo los lunes y descanso los domingos.,LUNES YO TRABAJAR DOMINGOS YO DESCANSAR
Cocino arroz cada noche y sirvo la comida.,CADA NOCHE YO ARROZ COCINAR COMIDA SERVIR
Leo libros todos los días y aprendo más.,TODOS DÍAS YO LIBROS LEER MÁS APRENDER
Estudio inglés por la mañana y español por la tarde.,MAÑANA YO INGLÉS ESTUDIAR TARDE YO ESPAÑOL ESTUDIAR
Preparo café cada día pero no tomo té.,CADA DÍA YO CAFÉ PREPARAR TÉ YO NO TOMAR
Escribo mensajes cuando tengo tiempo.,YO TIEMPO HAY YO MENSAJES ESCRIBIR
Corro en el parque todos los días.,TODOS DÍAS YO PARQUE CORRER
Organizo tareas cada lunes y martes.,CADA LUNES MARTES YO TAREAS ORGANIZAR
Limpio mi escritorio los sábados.,SÁBADOS YO ESCRITORIO LIMPIAR
Pinto paredes los domingos.,DOMINGOS YO PAREDES PINTAR
Trabajo porque me gusta.,YO GUSTAR YO TRABAJAR
Cocino cuando tengo hambre.,YO HAMBRE HAY YO COCINAR
Leo cuando quiero descansar.,YO DESCANSAR QUERER YO LEER
Escribo porque me relaja.,YO RELAJAR YO ESCRIBIR
Aprendo cuando escucho.,YO ESCUCHAR YO APRENDER
Descanso cuando termina el día.,DÍA TERMINAR YO DESCANSAR
Canto porque estoy feliz.,YO FELIZ YO CANTAR
Trabajo porque disfruto.,YO DISFRUTAR YO TRABAJAR
Leo porque me inspira.,YO INSPIRAR YO LEER
Cocino cuando llueve.,LLUEVE YO COCINAR
Duermo cuando puedo.,YO PODER YO DORMIR
Estudio porque me gusta.,YO GUSTAR YO ESTUDIAR
Trabajo cuando todos descansan.,TODOS DESCANSAR YO TRABAJAR
Cocino porque hace frío.,FRÍO HAY YO COCINAR
Estudio cuando el sol sale.,SOL SALIR YO ESTUDIAR
Leo cuando cae la tarde.,TARDE CAER YO LEER
Aprendo cuando hay silencio.,SILENCIO HAY YO APRENDER
Corro porque quiero mejorar.,YO MEJORAR QUERER YO CORRER
Descanso cuando puedo.,YO PODER DESCANSAR
Canto porque tengo energía.,YO ENERGÍA TENER CANTAR
Trabajo porque me apasiona.,YO PASIÓN TENER TRABAJAR
Leo porque disfruto.,YO DISFRUTAR LEER
Cocino cuando amanece.,YO AMANECER COCINAR
Duermo cuando anochece.,YO ANOCHECER DORMIR
Aprendo porque me gusta aprender.,YO GUSTAR APRENDER APRENDER
Trabajo cada lunes por la mañana.,CADA LUNES MAÑANA YO TRABAJAR
Leo libros todos los miércoles.,CADA MIÉRCOLES YO LIBROS LEER
Cocino con mis amigos los viernes.,CADA VIERNES AMIGOS MÍOS YO COCINAR
Escribo correos cada noche.,CADA NOCHE YO CORREOS ESCRIBIR
Descanso los domingos por la tarde.,CADA DOMINGO TARDE YO DESCANSAR
Viajo cada verano con mi familia.,CADA VERANO FAMILIA MÍA YO VIAJAR
Estudio cada día en la biblioteca.,CADA DÍA BIBLIOTECA YO ESTUDIAR
Escucho música todas las noches.,CADA NOCHE YO MÚSICA ESCUCHAR
Practico deporte cada semana.,CADA SEMANA YO DEPORTE PRACTICAR
Pinto cuadros todos los sábados.,CADA SÁBADO YO CUADROS PINTAR
Juego fútbol los domingos.,CADA DOMINGO YO FÚTBOL JUGAR
Hablo con mis padres cada día.,CADA DÍA PADRES MÍOS YO HABLAR
Veo películas cada viernes.,CADA VIERNES YO PELÍCULAS VER
Trabajo porque quiero avanzar.,YO AVANZAR QUERER TRABAJAR
Aprendo porque tengo curiosidad.,YO CURIOSIDAD TENER APRENDER
Leo porque me tranquiliza.,YO TRANQUILIZAR LEER
Cocino porque me divierte.,YO DIVERTIR COCINAR
Canto porque me hace feliz.,YO FELIZ HACER CANTAR
Estudio porque quiero mejorar.,YO MEJORAR QUERER ESTUDIAR
Escribo porque me inspira.,YO INSPIRAR ESCRIBIR
Corro porque disfruto el aire libre.,YO AIRE LIBRE DISFRUTAR CORRER
Descanso cuando termina el trabajo.,TRABAJO TERMINAR YO DESCANSAR
María estudia en la Universidad de Sevilla.,UNIVERSIDAD SEVILLA MARÍA ESTUDIAR
Luis trabaja en Madrid.,MADRID LUIS TRABAJAR
Ana vive en Valencia.,VALENCIA ANA VIVIR
Javier escribe en la oficina.,OFICINA JAVIER ESCRIBIR
Lucía canta en el auditorio.,AUDITORIO LUCÍA CANTAR
Carlos lee en el parque.,PARQUE CARLOS LEER
El profesor enseña en el instituto.,INSTITUTO PROFESOR ENSEÑAR
Mi hermana limpia en su casa.,CASA SU HERMANA MÍA LIMPIAR
El equipo entrena en el estadio.,ESTADIO EQUIPO ENTRENAR
La empresa fabrica en Granada.,GRANADA EMPRESA FABRICAR
El médico trabaja en el hospital.,HOSPITAL MÉDICO TRABAJAR
La vecina cocina en la cocina.,COCINA VECINA COCINAR
El alumno estudia en la biblioteca.,BIBLIOTECA ALUMNO ESTUDIAR
Mi padre repara en el garaje.,GARAJE PADRE MÍO REPARAR
La directora organiza en el despacho.,DESPACHO DIRECTORA ORGANIZAR
El escritor escribe en su estudio.,ESTUDIO SU ESCRITOR ESCRIBIR
El chef prepara postres en la cocina.,COCINA CHEF POSTRES PREPARAR
La doctora atiende pacientes en la consulta.,CONSULTA DOCTORA PACIENTES ATENDER
Mi amigo estudia en la biblioteca.,BIBLIOTECA AMIGO MÍO ESTUDIAR
El grupo canta en el teatro.,TEATRO GRUPO CANTAR
Trabajo en Málaga.,MÁLAGA YO TRABAJAR
Cocino en casa.,CASA YO COCINAR
Leo en el sofá.,SOFÁ YO LEER
Estudio en la mesa.,MESA YO ESTUDIAR
Escribo en el ordenador.,ORDENADOR YO ESCRIBIR
Limpio en la cocina.,COCINA YO LIMPIAR
Cierro la puerta en el pasillo.,PASILLO PUERTA YO CERRAR
Practico guitarra en el salón.,SALÓN GUITARRA YO PRACTICAR
Descanso en la cama.,CAMA YO DESCANSAR
Corro en el parque.,PARQUE YO CORRER
Duermo en mi habitación.,HABITACIÓN MÍA YO DORMIR
Trabajo en la empresa.,EMPRESA YO TRABAJAR
Cocino en la escuela.,ESCUELA YO COCINAR
Leo en el tren.,TREN YO LEER
Canto en el festival.,FESTIVAL YO CANTAR
Estudio en el Instituto Granada.,INSTITUTO GRANADA YO ESTUDIAR
Vivo en Casa Ana.,CASA ANA YO VIVIR
Ceno en el restaurante.,RESTAURANTE YO CENAR
Escucho música en la terraza.,TERRAZA MÚSICA YO ESCUCHAR
Mido ingredientes en la cocina.,COCINA INGREDIENTES YO MEDIR
Aprendo inglés en la academia.,ACADEMIA INGLÉS YO APRENDER
María estudia en Madrid y trabaja en su casa.,MADRID MARÍA ESTUDIAR CASA SUYA TRABAJAR
Luis vive en Barcelona y viaja a Valencia.,BARCELONA LUIS VIVIR VALENCIA VIAJAR
Ana enseña en el instituto y corrige en casa.,INSTITUTO ANA ENSEÑAR CASA CORREGIR
Javier escribe en el estudio y publica en línea.,ESTUDIO JAVIER ESCRIBIR LÍNEA PUBLICAR
Lucía canta en el teatro y ensaya en su habitación.,TEATRO LUCÍA CANTAR HABITACIÓN SUYA ENSAYAR
Carlos observa aves en el parque y anota datos.,PARQUE CARLOS AVES OBSERVAR DATOS ANOTAR
El profesor enseña en la universidad y corrige en casa.,UNIVERSIDAD PROFESOR ENSEÑAR CASA CORREGIR
Mi hermana limpia en su habitación y cocina en la sala.,HABITACIÓN SUYA MI HERMANA LIMPIAR SALA COCINAR
El grupo canta en Sevilla y baila en Cádiz.,SEVILLA GRUPO CANTAR CÁDIZ BAILAR
La doctora trabaja en el hospital y estudia en la universidad.,HOSPITAL DOCTORA TRABAJAR UNIVERSIDAD ESTUDIAR
Leo en la biblioteca y escribo en el escritorio.,BIBLIOTECA YO LEER ESCRITORIO YO ESCRIBIR
Trabajo en la oficina y estudio en la universidad.,OFICINA YO TRABAJAR UNIVERSIDAD YO ESTUDIAR
Pinto en casa y vendo mis cuadros en internet.,CASA YO PINTAR INTERNET CUADROS MÍOS VENDER
Cocino en el restaurante y enseño en la escuela.,RESTAURANTE YO COCINAR ESCUELA YO ENSEÑAR
Corro en el parque y descanso en el sofá.,PARQUE YO CORRER SOFÁ YO DESCANSAR
Trabajo mucho.,YO TRABAJAR MUCHO
Cocino arroz.,YO ARROZ COCINAR
Leo un libro.,YO LIBRO LEER
Estudio inglés.,YO INGLÉS ESTUDIAR
Preparo café.,YO CAFÉ PREPARAR
Escribo mensajes.,YO MENSAJES ESCRIBIR
Observo el cielo.,YO CIELO OBSERVAR
Organizo tareas.,YO TAREAS ORGANIZAR
Visito museos.,YO MUSEOS VISITAR
Limpio la casa.,YO CASA LIMPIAR
Reparo el coche.,YO COCHE REPARAR
Aprendo idiomas.,YO IDIOMAS APRENDER
Pinto cuadros.,YO CUADROS PINTAR
Grabo vídeos.,YO VÍDEOS GRABAR
Toco guitarra.,YO GUITARRA TOCAR
Investigo temas.,YO TEMAS INVESTIGAR
Mido ingredientes.,YO INGREDIENTES MEDIR
Gestiono proyectos.,YO PROYECTOS GESTIONAR
Planeo vacaciones.,YO VACACIONES PLANEAR
Camino rápido.,YO RÁPIDO CAMINAR
Compro pan.,YO PAN COMPRAR
Leo poemas.,YO POEMAS LEER
Estudio biología.,YO BIOLOGÍA ESTUDIAR
Trabajo feliz.,YO FELIZ TRABAJAR
Cocino lentejas.,YO LENTEJAS COCINAR
Escribo cartas.,YO CARTAS ESCRIBIR
Canto canciones.,YO CANCIONES CANTAR
Escucho música.,YO MÚSICA ESCUCHAR
Aprendo cosas.,YO COSAS APRENDER
Cierro la puerta.,PUERTA TÚ CERRAR DEBE
Subo escaleras.,YO ESCALERAS SUBIR
Duermo bien.,YO BIEN DORMIR
Despierto temprano.,YO TEMPRANO DESPERTAR
Corro rápido.,YO RÁPIDO CORRER
Río con amigos.,YO AMIGOS CON REÍR
Juego fútbol.,YO FÚTBOL JUGAR
Estudio solo.,YO SOLO ESTUDIAR
Trabajo motivado.,YO MOTIVADO TRABAJAR
Leo sin parar.,YO SIN PARAR LEER
Descanso tranquilo.,YO TRANQUILO DESCANSAR
Ayudo cuando puedo.,YO CUANDO PODER AYUDAR
Vivo feliz.,YO FELIZ VIVIR
Cocino bien.,YO BIEN COCINAR
Leo mucho.,YO MUCHO LEER
Trabajo contento.,YO CONTENTO TRABAJAR
Canto alto.,YO ALTO CANTAR
Organizo bien.,YO BIEN ORGANIZAR
Descanso poco.,YO POCO DESCANSAR
Escribo poco.,YO POCO ESCRIBIR
Pinto lento.,YO LENTO PINTAR
